Galaxy,Blaster,Rebel,ManaReaver,Demolitionist,Cybernetic,Infiltrator,StarGuardian,Paragon,Sniper,Set3_Celestial,MechPilot,Set3_Sorcerer,Astro,Chrono,Battlecast,Set3_Brawler,SpacePirate,DarkStar,Vanguard,Starship,Mercenary,Protector,Set3_Mystic,Set3_Blademaster,DamageToPlayer,Top4,Win
Trade Sector,Tier 1,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 2,Tier 0,Tier 1,Tier 0,Tier 1,Tier 1,Tier 0,Tier 0,158,TRUE,TRUE
Normal,Tier 1,Tier 2,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,209,TRUE,TRUE
Little Legend,Tier 1,Tier 1,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 2,Tier 0,Tier 1,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,98,FALSE,FALSE
Galactic Armory,Tier 1,Tier 1,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 2,Tier 0,Tier 1,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,60,FALSE,FALSE
Galactic Armory,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 2,86,FALSE,FALSE
Little Legend,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,91,TRUE,FALSE
SuperDense,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 2,Tier 0,Tier 0,Tier 0,Tier 2,Tier 1,Tier 0,136,TRUE,FALSE
Plunder Planet,Tier 1,Tier 0,Tier 1,Tier 0,Tier 2,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,139,TRUE,FALSE
Normal,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 2,Tier 0,Tier 0,Tier 1,Tier 1,Tier 1,Tier 0,152,TRUE,TRUE
Binary Star,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 2,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,81,TRUE,FALSE
Salvage World,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,94,FALSE,FALSE
Treasure Trove,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 1,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 1,Tier 1,Tier 0,8,FALSE,FALSE
Binary Star,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 2,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,Tier 0,Tier 1,Tier 0,150,TRUE,TRUE
Little Legend,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,76,FALSE,FALSE
Plunder Planet,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 2,Tier 1,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 2,Tier 1,Tier 0,84,FALSE,FALSE
SuperDense,Tier 1,Tier 1,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 2,Tier 0,Tier 1,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,111,TRUE,FALSE
Treasure Trove,Tier 0,Tier 0,Tier 1,Tier 0,Tier 2,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,59,FALSE,FALSE
Binary Star,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 1,Tier 2,Tier 0,Tier 0,Tier 0,Tier 2,Tier 0,127,TRUE,FALSE
SuperDense,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 2,28,FALSE,FALSE
